Title,Artist
Anti-Hero,Taylor Swift
Unholy,Sam Smith & Kim Petras
Kill Bill,SZA
I'm Good (Blue),David Guetta & Bebe Rexha
Rich Flex,Drake & 21 Savage
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
As It Was,Harry Styles
Die For You,The Weeknd
Bad Habit,Steve Lacy
Cuff It,Beyonce
Something In The Orange,Zach Bryan
Made You Look,Meghan Trainor
You Proof,Morgan Wallen
Under The Influence,Chris Brown
Golden Hour,JVKE
Just Wanna Rock,Lil Uzi Vert
Thank God,Kane Brown With Katelyn Brown
Super Freaky Girl,Nicki Minaj
I Like You (A Happier Song),Post Malone Featuring Doja Cat
Rock And A Hard Place,Bailey Zimmerman
Tomorrow 2,GloRilla & Cardi B
Wasted On You,Morgan Wallen
Shirt,SZA
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
Lift Me Up,Rihanna
About Damn Time,Lizzo
Until I Found You,Stephen Sanchez
Wait For U,Future Featuring Drake & Tems
Sunroof,Nicky Youre & dazy
I Ain't Worried,OneRepublic
"Going, Going, Gone",Luke Combs
Vegas,Doja Cat
Thought You Should Know,Morgan Wallen
The Kind Of Love We Make,Luke Combs
She Had Me At Heads Carolina,Cole Swindell
Son Of A Sinner,Jelly Roll
Lavender Haze,Taylor Swift
Wait In The Truck,HARDY Featuring Lainey Wilson
Heart Like A Truck,Lainey Wilson
Victoria's Secret,Jax
Unstoppable,Sia
Nobody Gets Me,SZA
Escapism,RAYE Featuring 070 Shake
What My World Spins Around,Jordan Davis
Low,SZA
Calm Down,Rema & Selena Gomez
Whiskey On You,Nate Smith
Fall In Love,Bailey Zimmerman
Jimmy Cooks,Drake Featuring 21 Savage
Bebe Dame,Fuerza Regida X Grupo Frontera
Blind,SZA
Hold Me Closer,Elton John & Britney Spears
Snooze,SZA
Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X
Hotel Lobby (Unc And Phew),Quavo & Takeoff
Love Language,SZA
Que Vuelvas,Carin Leon X Grupo Frontera
Tennessee Orange,Megan Moroney
Romantic Homicide,d4vd
Gato de Noche,Nengo Flow & Bad Bunny
Down Home,Jimmie Allen
Spin Bout U,Drake & 21 Savage
Pick Me Up,Gabby Barrett
Circo Loco,Drake & 21 Savage
Too Many Nights,Metro Boomin Featuring Don Toliver & Future
Seek & Destroy,SZA
What He Didn't Do,Carly Pearce
Bloody Mary,Lady Gaga
Handle On You,Parker McCollum
No Se Va,Grupo Frontera
Snap,Rosa Linn
Freestyle,Lil Baby
Half Of Me,Thomas Rhett Featuring Riley Green
Forget Me,Lewis Capaldi
Wild As Her,Corey Kent
Used,SZA Featuring Don Toliver
One Thing At A Time,Morgan Wallen
Billie Eilish.,Armani White
Ghost In The Machine,SZA Featuring Phoebe Bridgers
La Jumpa,Arcangel & Bad Bunny
Bejeweled,Taylor Swift
La Bachata,Manuel Turizo
Special,SZA
Heyy,Lil Baby
Open Arms,SZA Featuring Travis Scott
Niagara Falls (Foot Or 2),"Metro Boomin, Travis Scott & 21 Savage"
The Color Violet,Tory Lanez
Here With Me,d4vd
California Breeze,Lil Baby
SOS,SZA
Love You Better,Future
Pussy & Millions,Drake & 21 Savage Featuring Travis Scott
Out In The Middle,Zac Brown Band
Gone Girl,SZA
On BS,Drake & 21 Savage
Shut Up My Moms Calling,Hotel Ugly
Midnight Rain,Taylor Swift
Players,Coi Leray
Major Distribution,Drake & 21 Savage
Notice Me,SZA
